complaint_text,domain,officer_id,priority,eta_days
Sewage water is mixing with drinking water pipeline near Brigade Road. Very serious health risk.,water_supply,OFF004,High,1
A burst pipe on MG Road has been flooding the road for 23 days. No repair work started. Please take urgent action.,water_supply,OFF004,Low,7
Gas pipeline leak detected near Anna Salai. Strong smell of gas in the area since 30 hours. We have been suffering for a long time.,utilities,OFF002,Medium,11
Honking near Post Office school zone is continuous despite no-horn boards. Students cannot concentrate.,noise_pollution,OFF008,Medium,12
Tax exemption for senior citizen in Salt Lake was removed without notice or reason this year. We have been suffering for a long time.,taxation,OFF009,Medium,40
The public telephone booth at Central Park is completely damaged and non-functional. We have been suffering for a long time.,utilities,OFF002,Low,16
Dangling live electric wire on Rajiv Chowk near Railway Station is a life-threatening hazard. Kindly resolve at the earliest.,electricity,OFF005,Medium,3
The public toilet at District Court has been locked for 19 days leaving no facility for residents. We have been suffering for a long time.,sanitation,OFF003,High,4
My house in Gomti Nagar was flooded due to nearby illegal construction blocking the natural drain.,housing,OFF010,Low,40
The electric meter box outside Old Bus Stand is open and exposed to rain. Very dangerous. This is not the first time this has happened.,electricity,OFF005,Low,11
Garbage has not been collected from Koramangala for 28 days. The smell is unbearable and health hazard. Please take urgent action.,sanitation,OFF003,Medium,2
Tax exemption for senior citizen in Powai was removed without notice or reason this year. Kindly resolve at the earliest.,taxation,OFF009,Low,21
Unhygienic food being sold near City Hospital hospital. Multiple food poisoning cases reported. We have been suffering for a long time.,healthcare,OFF006,Medium,3
Doctor at Government School clinic demanding extra cash for treatments covered under government scheme. Please take urgent action.,healthcare,OFF006,High,2
Illegal parking of commercial vehicles on Sector 14 blocks traffic for hours every day. This is not the first time this has happened.,transport,OFF007,Low,2
Illegal electricity connections tapped from main line on Brigade Road causing frequent outages. We have been suffering for a long time.,electricity,OFF005,Medium,3
Illegal electricity connections tapped from main line on Sector 14 causing frequent outages. This is not the first time this has happened.,electricity,OFF005,Medium,5
A factory near Post Office is running heavy machinery at night causing unbearable noise pollution.,noise_pollution,OFF008,Low,7
Water supply timing in Sector 4 has changed without notice causing major inconvenience. Kindly resolve at the earliest.,water_supply,OFF004,Medium,6
Dangling live electric wire on Civil Lines near Municipal Office is a life-threatening hazard.,electricity,OFF005,Low,11
Potholes on the main highway near Town Hall causing frequent accidents and vehicle damage. We have been suffering for a long time.,transport,OFF007,Medium,2
Dengue outbreak in Powai - 10 cases confirmed. No fumigation or awareness drive started. Please take urgent action.,healthcare,OFF006,High,1
Traffic signal at Sector 14 junction has been non-functional for 21 days causing accidents.,transport,OFF007,Medium,18
Stray dogs are feeding on garbage dumped near Sector 14 creating health and safety risks. We have been suffering for a long time.,sanitation,OFF003,High,5
URGENT: Street lights on Civil Lines have not been working since 12 days causing safety issues at night.,infrastructure,OFF001,High,17
Street lights on Sector 14 have not been working since 7 days causing safety issues at night. We have been suffering for a long time.,infrastructure,OFF001,Low,11
The sanitation workers in Salt Lake have not come for 17 days after the festival. Garbage piling up.,sanitation,OFF003,Medium,5
Water supply timing in Salt Lake has changed without notice causing major inconvenience. Kindly resolve at the earliest.,water_supply,OFF004,Medium,10
The transformer on Civil Lines is producing loud sparking sounds since last night. Very dangerous. Kindly resolve at the earliest.,utilities,OFF002,Medium,4
My house in Andheri West was flooded due to nearby illegal construction blocking the natural drain.,housing,OFF010,High,16
A temple near Whitefield uses loudspeakers at 4am daily. Residents have complained 6 times. This is not the first time this has happened.,noise_pollution,OFF008,High,6
A large pothole on MG Road near Old Bus Stand caused my vehicle to break down. This has been reported 10 times before. This is not the first time this has happened.,infrastructure,OFF001,High,16
Potholes on the main highway near Town Hall causing frequent accidents and vehicle damage. Please take urgent action.,transport,OFF007,Medium,4
URGENT: The ambulance service in Koramangala took 28 hours to respond causing a patient's death.,healthcare,OFF006,High,1
My GST registration application has been pending for 25 days without any response.,taxation,OFF009,Medium,11
URGENT: Doctor at Municipal Office clinic demanding extra cash for treatments covered under government scheme.,healthcare,OFF006,High,1
Bar and restaurant on Gandhi Nagar plays loud music past midnight regularly violating rules. This is not the first time this has happened.,noise_pollution,OFF008,Low,12
Traffic signal at Shastri Marg junction has been non-functional for 9 days causing accidents.,transport,OFF007,Medium,12
Received property tax notice for Gomti Nagar property with incorrect assessment value. Need correction. We have been suffering for a long time.,taxation,OFF009,Medium,26
Water coming from taps in Krishna Nagar is brownish and smells bad. Definitely contaminated.,water_supply,OFF004,High,4
Construction of building on Brigade Road is illegal as it violates floor space index regulations. Please take urgent action.,housing,OFF010,Medium,30
Water meter readings in Ward 7 are incorrect. Getting bills for double the actual usage.,water_supply,OFF004,High,3
Encroachment on public land near Shastri Marg has reduced the road width to dangerous levels.,housing,OFF010,Medium,49
The bridge near City Hospital is showing cracks and looks structurally unsafe. Immediate inspection required. This is not the first time this has happened.,infrastructure,OFF001,High,6
The pedestrian crossing near Railway Station school has no zebra markings. Children in danger.,transport,OFF007,High,6
The electric meter box outside Municipal Office is open and exposed to rain. Very dangerous. This is not the first time this has happened.,electricity,OFF005,High,4
New tax levied on Andheri West residents without proper public notification or justification.,taxation,OFF009,Medium,17
No bus shelter on Civil Lines causing hardship for commuters in rain and extreme heat.,transport,OFF007,High,10
Promised amenities in housing scheme at Post Office were not delivered even after 24 days of possession.,housing,OFF010,Low,71
Loudspeakers at Municipal Office play music beyond permitted decibel levels daily disturbing residents. Please take urgent action.,noise_pollution,OFF008,Low,2
New tax levied on Ward 7 residents without proper public notification or justification.,taxation,OFF009,Medium,15
Internet and cable services have been disrupted in Banjara Hills for 6 days affecting work from home. Please take urgent action.,utilities,OFF002,High,7
Common areas in government housing at Government School are being illegally encroached upon. We have been suffering for a long time.,housing,OFF010,Medium,15
Fake medical practitioners operating clinic on Civil Lines without valid license. Please take urgent action.,healthcare,OFF006,High,1
Firecrackers being burst in Banjara Hills every night for 16 days causing distress to elderly and children.,noise_pollution,OFF008,Medium,7
Illegal DJ parties in open ground near Old Bus Stand till 3am disturbing entire neighbourhood. Kindly resolve at the earliest.,noise_pollution,OFF008,Medium,11
A large pothole on Rajiv Chowk near Town Hall caused my vehicle to break down. This has been reported 9 times before. Kindly resolve at the earliest.,infrastructure,OFF001,High,3
A large pothole on Rajiv Chowk near Town Hall caused my vehicle to break down. This has been reported 19 times before. Please take urgent action.,infrastructure,OFF001,High,4
The railway station at Municipal Office has no proper lighting in the parking area causing theft. This is not the first time this has happened.,transport,OFF007,Medium,9
The public telephone booth at Municipal Office is completely damaged and non-functional. Kindly resolve at the earliest.,utilities,OFF002,High,1
Flyover construction debris has not been cleared from Anna Salai for 8 days causing major traffic issues.,infrastructure,OFF001,Medium,5
Streetlights in Ward 7 are on during daytime wasting electricity for 5 days.,electricity,OFF005,Low,4
Construction of building on Anna Salai is illegal as it violates floor space index regulations. Kindly resolve at the earliest.,housing,OFF010,Low,57
Broken dustbins on Sector 14 are causing litter to spread across the road and nearby shops. Please take urgent action.,sanitation,OFF003,High,6
URGENT: Water supply timing in Gomti Nagar has changed without notice causing major inconvenience.,water_supply,OFF004,High,7
Illegal parking of commercial vehicles on Brigade Road blocks traffic for hours every day. This is not the first time this has happened.,transport,OFF007,High,8
Tax exemption for senior citizen in Koramangala was removed without notice or reason this year. This is not the first time this has happened.,taxation,OFF009,High,7
The vaccination camp scheduled at Municipal Office was cancelled without notice for 14 weeks. Kindly resolve at the earliest.,healthcare,OFF006,Medium,5
Rental agreement disputes in Whitefield — landlord has locked the property illegally during tenancy. This is not the first time this has happened.,housing,OFF010,Medium,26
The pedestrian crossing near City Hospital school has no zebra markings. Children in danger. This is not the first time this has happened.,transport,OFF007,Medium,19
Received property tax notice for Gomti Nagar property with incorrect assessment value. Need correction.,taxation,OFF009,Medium,8
The electric meter box outside Government School is open and exposed to rain. Very dangerous. Kindly resolve at the earliest.,electricity,OFF005,High,2
Electricity bill for Powai is three times higher than usual without any increase in usage. Kindly resolve at the earliest.,electricity,OFF005,Medium,1
Slum demolition in Ward 7 was done without proper notice or rehabilitation arrangements for 9 families. Please take urgent action.,housing,OFF010,Low,74
Electricity bill for Whitefield is three times higher than usual without any increase in usage.,electricity,OFF005,Low,4
Potholes on the main highway near Municipal Office causing frequent accidents and vehicle damage. Kindly resolve at the earliest.,transport,OFF007,High,10
Dead animals on Rajiv Chowk have not been removed for 17 days causing disease outbreak risk.,sanitation,OFF003,Medium,6
Received property tax notice for Ward 7 property with incorrect assessment value. Need correction. Kindly resolve at the earliest.,taxation,OFF009,Medium,36
The municipal wifi hotspot at Old Bus Stand has not been working for 30 days. Please take urgent action.,utilities,OFF002,Medium,4
Water coming from taps in Banjara Hills is brownish and smells bad. Definitely contaminated. Please take urgent action.,water_supply,OFF004,High,1
The drainage system on MG Road collapsed causing road cave-in and major commute disruption.,infrastructure,OFF001,Medium,17
The road divider on Anna Salai was damaged in an accident last week and has not been repaired creating traffic hazards. Please take urgent action.,infrastructure,OFF001,Medium,5
URGENT: Illegal dumping of construction waste at Post Office is blocking the road and causing stench.,sanitation,OFF003,High,2
Encroachment on public land near Lal Bagh Road has reduced the road width to dangerous levels. This is not the first time this has happened.,housing,OFF010,Low,40
Sewage water is mixing with drinking water pipeline near Shastri Marg. Very serious health risk. We have been suffering for a long time.,water_supply,OFF004,High,2
No bus shelter on Brigade Road causing hardship for commuters in rain and extreme heat. This is not the first time this has happened.,transport,OFF007,High,7
Internet and cable services have been disrupted in Powai for 26 days affecting work from home.,utilities,OFF002,Low,4
Rental agreement disputes in Gomti Nagar — landlord has locked the property illegally during tenancy. Kindly resolve at the earliest.,housing,OFF010,Medium,30
The road on Gandhi Nagar has large potholes that have been causing accidents for 24 days. Several vehicles have been damaged. Please take urgent action.,infrastructure,OFF001,Low,8
Promised amenities in housing scheme at Old Bus Stand were not delivered even after 26 days of possession.,housing,OFF010,Medium,48
Sewage water is mixing with drinking water pipeline near Shastri Marg. Very serious health risk. This is not the first time this has happened.,water_supply,OFF004,Medium,8
Potholes on the main highway near Main Market causing frequent accidents and vehicle damage.,transport,OFF007,High,2
Bus route 8 has been cancelled for 2 days. Thousands of commuters stranded daily. Kindly resolve at the earliest.,transport,OFF007,Low,7
Unhygienic food being sold near Old Bus Stand hospital. Multiple food poisoning cases reported. Kindly resolve at the earliest.,healthcare,OFF006,High,2
Water supply timing in Whitefield has changed without notice causing major inconvenience. Please take urgent action.,water_supply,OFF004,High,8
The pedestrian crossing near Old Bus Stand school has no zebra markings. Children in danger.,transport,OFF007,High,1
Repeated tripping of main supply in Gomti Nagar causing power cuts 10 times a day. Kindly resolve at the earliest.,electricity,OFF005,High,4
Received property tax notice for Salt Lake property with incorrect assessment value. Need correction.,taxation,OFF009,Medium,42
Water supply timing in Andheri West has changed without notice causing major inconvenience. Please take urgent action.,water_supply,OFF004,High,2
Open defecation is happening near Government School due to lack of public toilets. Urgent action needed. This is not the first time this has happened.,sanitation,OFF003,Low,4
The drain near Brigade Road is completely clogged with garbage causing flooding during rains. Kindly resolve at the earliest.,sanitation,OFF003,High,3
The footpath on Brigade Road is completely broken and dangerous for pedestrians especially elderly people. We have been suffering for a long time.,infrastructure,OFF001,High,10
The public toilet at Town Hall has been locked for 15 days leaving no facility for residents. We have been suffering for a long time.,sanitation,OFF003,Medium,6
Repeated tripping of main supply in Whitefield causing power cuts 3 times a day. Please take urgent action.,electricity,OFF005,High,1
Flyover construction debris has not been cleared from Anna Salai for 28 days causing major traffic issues. Please take urgent action.,infrastructure,OFF001,Low,39
URGENT: Mosquito breeding in stagnant water near Town Hall due to poor drainage in Ward 7.,sanitation,OFF003,High,4
The drainage system on MG Road collapsed causing road cave-in and major commute disruption. We have been suffering for a long time.,infrastructure,OFF001,Medium,23
URGENT: The pedestrian crossing near Old Bus Stand school has no zebra markings. Children in danger.,transport,OFF007,High,12
The footpath on Civil Lines is completely broken and dangerous for pedestrians especially elderly people.,infrastructure,OFF001,Medium,24
Repeated tripping of main supply in Gomti Nagar causing power cuts 16 times a day. Please take urgent action.,electricity,OFF005,High,1
Internet and cable services have been disrupted in Banjara Hills for 15 days affecting work from home. This is not the first time this has happened.,utilities,OFF002,High,4
The municipal wifi hotspot at Municipal Office has not been working for 5 days.,utilities,OFF002,Low,8
Bar and restaurant on Anna Salai plays loud music past midnight regularly violating rules. This is not the first time this has happened.,noise_pollution,OFF008,Medium,3
Tax deducted twice for Krishna Nagar property this quarter. Requesting refund of excess amount. Kindly resolve at the earliest.,taxation,OFF009,High,18
URGENT: The housing society at Old Bus Stand is denying flat possession despite full payment 28 days ago.,housing,OFF010,High,3
Flyover construction debris has not been cleared from Civil Lines for 27 days causing major traffic issues.,infrastructure,OFF001,Low,30
A factory near Central Park is running heavy machinery at night causing unbearable noise pollution. Kindly resolve at the earliest.,noise_pollution,OFF008,High,2
Bus driver on route 4 was drunk and driving rashly. Passengers feared for their lives. We have been suffering for a long time.,transport,OFF007,High,12
Medical oxygen cylinders at Main Market hospital are empty. ICU patients at risk.,healthcare,OFF006,Medium,1
Illegal electricity connections tapped from main line on Gandhi Nagar causing frequent outages. Please take urgent action.,electricity,OFF005,Medium,10
Encroachment on public land near MG Road has reduced the road width to dangerous levels. Please take urgent action.,housing,OFF010,Low,26
Tax deducted twice for Salt Lake property this quarter. Requesting refund of excess amount. This is not the first time this has happened.,taxation,OFF009,Medium,28
The electric meter box outside Post Office is open and exposed to rain. Very dangerous. We have been suffering for a long time.,electricity,OFF005,Medium,2
Electricity bill for Whitefield is three times higher than usual without any increase in usage. This is not the first time this has happened.,electricity,OFF005,Medium,7
No water supply in Koramangala for 30 days. Residents are buying expensive tankers just to survive. We have been suffering for a long time.,water_supply,OFF004,Medium,2
Received income tax notice with wrong PAN number. My returns are filed but notice not withdrawn. Please take urgent action.,taxation,OFF009,Low,16
Mosquito breeding in stagnant water near Main Market due to poor drainage in Whitefield. We have been suffering for a long time.,sanitation,OFF003,High,2
Illegal DJ parties in open ground near Town Hall till 3am disturbing entire neighbourhood. This is not the first time this has happened.,noise_pollution,OFF008,Medium,8
Broken dustbins on Sector 14 are causing litter to spread across the road and nearby shops. This is not the first time this has happened.,sanitation,OFF003,Medium,2
Bus route 20 has been cancelled for 23 days. Thousands of commuters stranded daily. Kindly resolve at the earliest.,transport,OFF007,Low,21
Building near Main Market is under construction without valid permits blocking emergency exit roads. This is not the first time this has happened.,housing,OFF010,Low,26
Illegal electricity connections tapped from main line on Civil Lines causing frequent outages. Kindly resolve at the earliest.,electricity,OFF005,High,5
Bus route 9 has been cancelled for 1 days. Thousands of commuters stranded daily. Kindly resolve at the earliest.,transport,OFF007,Low,25
Fake medical practitioners operating clinic on Brigade Road without valid license. This is not the first time this has happened.,healthcare,OFF006,High,4
Firecrackers being burst in Powai every night for 26 days causing distress to elderly and children. This is not the first time this has happened.,noise_pollution,OFF008,High,3
The drainage system on Civil Lines collapsed causing road cave-in and major commute disruption. Please take urgent action.,infrastructure,OFF001,High,5
Illegal parking of commercial vehicles on Anna Salai blocks traffic for hours every day. Kindly resolve at the earliest.,transport,OFF007,High,7
A large pothole on Anna Salai near Government School caused my vehicle to break down. This has been reported 5 times before. Please take urgent action.,infrastructure,OFF001,Low,16
Bar and restaurant on Lal Bagh Road plays loud music past midnight regularly violating rules. Kindly resolve at the earliest.,noise_pollution,OFF008,Medium,13
The vaccination camp scheduled at Town Hall was cancelled without notice for 6 weeks.,healthcare,OFF006,Low,8
The sanitation workers in Powai have not come for 7 days after the festival. Garbage piling up. This is not the first time this has happened.,sanitation,OFF003,High,2
A temple near Ward 7 uses loudspeakers at 4am daily. Residents have complained 18 times. Kindly resolve at the earliest.,noise_pollution,OFF008,Medium,9
The drain near Lal Bagh Road is completely clogged with garbage causing flooding during rains.,sanitation,OFF003,High,3
The borewell at Central Park has dried up leaving the community with no water source. This is not the first time this has happened.,water_supply,OFF004,Medium,6
Slum demolition in Whitefield was done without proper notice or rehabilitation arrangements for 3 families. We have been suffering for a long time.,housing,OFF010,High,10
Mosquito breeding in stagnant water near Post Office due to poor drainage in Sector 4. Kindly resolve at the earliest.,sanitation,OFF003,Medium,8
The borewell at District Court has dried up leaving the community with no water source. This is not the first time this has happened.,water_supply,OFF004,Medium,7
"No sanitation in government hospital at Post Office. Toilets not cleaned, wards have foul smell.",healthcare,OFF006,Medium,1
Illegal electricity connections tapped from main line on Gandhi Nagar causing frequent outages. Please take urgent action.,electricity,OFF005,Medium,9
The water pipeline on Gandhi Nagar is leaking heavily causing waterlogging and water wastage.,water_supply,OFF004,High,8
Rental agreement disputes in Whitefield — landlord has locked the property illegally during tenancy. Kindly resolve at the earliest.,housing,OFF010,High,30
Internet and cable services have been disrupted in Powai for 21 days affecting work from home. We have been suffering for a long time.,utilities,OFF002,High,7
Slum demolition in Powai was done without proper notice or rehabilitation arrangements for 16 families.,housing,OFF010,High,22
The water pipeline on Anna Salai is leaking heavily causing waterlogging and water wastage. We have been suffering for a long time.,water_supply,OFF004,High,2
Flyover construction debris has not been cleared from Brigade Road for 15 days causing major traffic issues. This is not the first time this has happened.,infrastructure,OFF001,High,11
The water pipeline on Sector 14 is leaking heavily causing waterlogging and water wastage. Please take urgent action.,water_supply,OFF004,High,1
URGENT: Street vendor electricity connections on Rajiv Chowk are illegally tapped causing overload issues.,utilities,OFF002,High,4
Doctor at Railway Station clinic demanding extra cash for treatments covered under government scheme.,healthcare,OFF006,High,2
The government hospital at Central Park does not have doctors available for 1 days. Patients suffering. This is not the first time this has happened.,healthcare,OFF006,High,2
Repeated tripping of main supply in Koramangala causing power cuts 8 times a day. Please take urgent action.,electricity,OFF005,Low,7
Dangling live electric wire on Anna Salai near Railway Station is a life-threatening hazard. Kindly resolve at the earliest.,electricity,OFF005,Low,8
Doctor at Government School clinic demanding extra cash for treatments covered under government scheme.,healthcare,OFF006,High,3
The drain near Lal Bagh Road is completely clogged with garbage causing flooding during rains.,sanitation,OFF003,High,1
Sewage water is mixing with drinking water pipeline near Lal Bagh Road. Very serious health risk. Kindly resolve at the earliest.,water_supply,OFF004,High,2
Doctor at City Hospital clinic demanding extra cash for treatments covered under government scheme.,healthcare,OFF006,Low,9
The drain near Lal Bagh Road is completely clogged with garbage causing flooding during rains. We have been suffering for a long time.,sanitation,OFF003,High,4
Dengue outbreak in Andheri West - 3 cases confirmed. No fumigation or awareness drive started.,healthcare,OFF006,High,1
Power outage in Powai for 29 days. Medicines in refrigerators are spoiling. Elderly patients suffering. This is not the first time this has happened.,electricity,OFF005,High,1
Low water pressure in Banjara Hills since 21 days. Water does not reach above first floor. Kindly resolve at the earliest.,water_supply,OFF004,Medium,14
Street vendor electricity connections on Brigade Road are illegally tapped causing overload issues. We have been suffering for a long time.,utilities,OFF002,High,3
The municipal wifi hotspot at District Court has not been working for 26 days.,utilities,OFF002,High,5
Slum demolition in Ward 7 was done without proper notice or rehabilitation arrangements for 6 families. Kindly resolve at the earliest.,housing,OFF010,Low,62
Fake medical practitioners operating clinic on Shastri Marg without valid license. Please take urgent action.,healthcare,OFF006,High,1
The substation on Sector 14 is making loud humming noise and smells of burning for 9 days.,electricity,OFF005,High,6
The bridge near Railway Station is showing cracks and looks structurally unsafe. Immediate inspection required.,infrastructure,OFF001,Low,30
Potholes on the main highway near Town Hall causing frequent accidents and vehicle damage.,transport,OFF007,High,6
Bar and restaurant on MG Road plays loud music past midnight regularly violating rules. Please take urgent action.,noise_pollution,OFF008,Medium,6
URGENT: Potholes on the main highway near Main Market causing frequent accidents and vehicle damage.,transport,OFF007,High,1
The bridge near Government School is showing cracks and looks structurally unsafe. Immediate inspection required. Please take urgent action.,infrastructure,OFF001,Low,7
Repeated tripping of main supply in Gomti Nagar causing power cuts 13 times a day. Please take urgent action.,electricity,OFF005,High,5
URGENT: The transformer on Civil Lines is producing loud sparking sounds since last night. Very dangerous.,utilities,OFF002,High,7
Broken dustbins on Shastri Marg are causing litter to spread across the road and nearby shops.,sanitation,OFF003,Low,14
Illegal dumping of construction waste at Central Park is blocking the road and causing stench. This is not the first time this has happened.,sanitation,OFF003,Medium,4
The borewell at Main Market has dried up leaving the community with no water source.,water_supply,OFF004,Medium,8
Mosquito breeding in stagnant water near Old Bus Stand due to poor drainage in Powai. This is not the first time this has happened.,sanitation,OFF003,High,1
Broken dustbins on Rajiv Chowk are causing litter to spread across the road and nearby shops. Kindly resolve at the earliest.,sanitation,OFF003,Medium,10
Garbage has not been collected from Gomti Nagar for 18 days. The smell is unbearable and health hazard. Please take urgent action.,sanitation,OFF003,Medium,1
Illegal DJ parties in open ground near Railway Station till 3am disturbing entire neighbourhood. This is not the first time this has happened.,noise_pollution,OFF008,Low,2
The footpath on Gandhi Nagar is completely broken and dangerous for pedestrians especially elderly people. We have been suffering for a long time.,infrastructure,OFF001,Medium,15
The borewell at Town Hall has dried up leaving the community with no water source.,water_supply,OFF004,Medium,12
Received property tax notice for Gomti Nagar property with incorrect assessment value. Need correction. Please take urgent action.,taxation,OFF009,Low,29
Loudspeakers at Municipal Office play music beyond permitted decibel levels daily disturbing residents.,noise_pollution,OFF008,Medium,6
Bus driver on route 12 was drunk and driving rashly. Passengers feared for their lives. We have been suffering for a long time.,transport,OFF007,Medium,14
Honking near Government School school zone is continuous despite no-horn boards. Students cannot concentrate. Please take urgent action.,noise_pollution,OFF008,High,3
Doctor at Municipal Office clinic demanding extra cash for treatments covered under government scheme. Kindly resolve at the earliest.,healthcare,OFF006,Medium,2
The railway station at Old Bus Stand has no proper lighting in the parking area causing theft.,transport,OFF007,Medium,20
Illegal parking of commercial vehicles on Nehru Street blocks traffic for hours every day. Please take urgent action.,transport,OFF007,High,1
Doctor at District Court clinic demanding extra cash for treatments covered under government scheme. Please take urgent action.,healthcare,OFF006,Low,1
Speed breakers on Sector 14 have been damaged and are not visible causing accidents at night. We have been suffering for a long time.,infrastructure,OFF001,Medium,18
Bus driver on route 14 was drunk and driving rashly. Passengers feared for their lives. Kindly resolve at the earliest.,transport,OFF007,High,11
The pedestrian crossing near City Hospital school has no zebra markings. Children in danger. Please take urgent action.,transport,OFF007,Medium,16
Repeated tripping of main supply in Koramangala causing power cuts 16 times a day. Please take urgent action.,electricity,OFF005,Medium,2
URGENT: Building near District Court is under construction without valid permits blocking emergency exit roads.,housing,OFF010,High,19
Common areas in government housing at Old Bus Stand are being illegally encroached upon. Please take urgent action.,housing,OFF010,Medium,47
Garbage has not been collected from Ward 7 for 27 days. The smell is unbearable and health hazard. Please take urgent action.,sanitation,OFF003,Medium,7
Illegal dumping of construction waste at Municipal Office is blocking the road and causing stench. This is not the first time this has happened.,sanitation,OFF003,Medium,4
Illegal DJ parties in open ground near Central Park till 3am disturbing entire neighbourhood. Please take urgent action.,noise_pollution,OFF008,Low,16
Tax deducted twice for Koramangala property this quarter. Requesting refund of excess amount.,taxation,OFF009,Medium,37
The public toilet at Central Park has been locked for 6 days leaving no facility for residents. Kindly resolve at the earliest.,sanitation,OFF003,High,4
Power outage in Andheri West for 8 days. Medicines in refrigerators are spoiling. Elderly patients suffering. We have been suffering for a long time.,electricity,OFF005,Low,8
Street vendor electricity connections on Gandhi Nagar are illegally tapped causing overload issues. This is not the first time this has happened.,utilities,OFF002,Medium,5
The water pipeline on MG Road is leaking heavily causing waterlogging and water wastage. This is not the first time this has happened.,water_supply,OFF004,High,7
Multiple utility poles on Sector 14 are leaning and may fall during the next storm. We have been suffering for a long time.,utilities,OFF002,High,2
Bus route 15 has been cancelled for 7 days. Thousands of commuters stranded daily. We have been suffering for a long time.,transport,OFF007,High,12
High voltage fluctuation on Sector 14 damaged our appliances. Need compensation and immediate fix. Please take urgent action.,electricity,OFF005,High,1
Dengue outbreak in Whitefield - 19 cases confirmed. No fumigation or awareness drive started. Kindly resolve at the earliest.,healthcare,OFF006,High,2
The sanitation workers in Banjara Hills have not come for 1 days after the festival. Garbage piling up. Please take urgent action.,sanitation,OFF003,Low,9
Building near Central Park is under construction without valid permits blocking emergency exit roads. Kindly resolve at the earliest.,housing,OFF010,Low,81
My house in Ward 7 was flooded due to nearby illegal construction blocking the natural drain. Kindly resolve at the earliest.,housing,OFF010,High,34
The railway station at Old Bus Stand has no proper lighting in the parking area causing theft. Kindly resolve at the earliest.,transport,OFF007,Medium,9
Illegal DJ parties in open ground near Old Bus Stand till 3am disturbing entire neighbourhood. We have been suffering for a long time.,noise_pollution,OFF008,Low,12
URGENT: The housing society at Post Office is denying flat possession despite full payment 22 days ago.,housing,OFF010,High,25
Dead animals on MG Road have not been removed for 6 days causing disease outbreak risk. We have been suffering for a long time.,sanitation,OFF003,Medium,10
E-rickshaw operators in Powai are overloading passengers dangerously beyond capacity. This is not the first time this has happened.,transport,OFF007,Low,19
Dangling live electric wire on Lal Bagh Road near Railway Station is a life-threatening hazard. Please take urgent action.,electricity,OFF005,Low,5
Speed breakers on Brigade Road have been damaged and are not visible causing accidents at night.,infrastructure,OFF001,High,10
Speed breakers on Shastri Marg have been damaged and are not visible causing accidents at night. We have been suffering for a long time.,infrastructure,OFF001,Medium,18
The transformer in Gomti Nagar exploded last night. No power since then. No response from electricity board. Kindly resolve at the earliest.,electricity,OFF005,High,6
The road divider on MG Road was damaged in an accident last week and has not been repaired creating traffic hazards. Please take urgent action.,infrastructure,OFF001,Low,26
A temple near Banjara Hills uses loudspeakers at 4am daily. Residents have complained 15 times.,noise_pollution,OFF008,Medium,7
The transformer in Salt Lake exploded last night. No power since then. No response from electricity board. Kindly resolve at the earliest.,electricity,OFF005,Low,2
The water pipeline on Shastri Marg is leaking heavily causing waterlogging and water wastage. Kindly resolve at the earliest.,water_supply,OFF004,High,3
No water supply in Powai for 26 days. Residents are buying expensive tankers just to survive. Please take urgent action.,water_supply,OFF004,High,1
Broken dustbins on Rajiv Chowk are causing litter to spread across the road and nearby shops.,sanitation,OFF003,High,2
Gas pipeline leak detected near Sector 14. Strong smell of gas in the area since 21 hours. Kindly resolve at the earliest.,utilities,OFF002,Low,7
Streetlights in Whitefield are on during daytime wasting electricity for 26 days. This is not the first time this has happened.,electricity,OFF005,High,1
The pedestrian crossing near Old Bus Stand school has no zebra markings. Children in danger. We have been suffering for a long time.,transport,OFF007,Medium,2
URGENT: High voltage fluctuation on Shastri Marg damaged our appliances. Need compensation and immediate fix.,electricity,OFF005,High,2
No water supply in Gomti Nagar for 14 days. Residents are buying expensive tankers just to survive. Please take urgent action.,water_supply,OFF004,Medium,1
Auto rickshaw drivers in Andheri West are refusing to go by meter and overcharging passengers. Kindly resolve at the earliest.,transport,OFF007,High,4
The road on Anna Salai has large potholes that have been causing accidents for 5 days. Several vehicles have been damaged. Please take urgent action.,infrastructure,OFF001,Medium,21
The public park benches at Post Office are broken and unsafe for children and senior citizens. This is not the first time this has happened.,infrastructure,OFF001,Low,7
High voltage fluctuation on Shastri Marg damaged our appliances. Need compensation and immediate fix. Please take urgent action.,electricity,OFF005,High,5
The road on Sector 14 has large potholes that have been causing accidents for 14 days. Several vehicles have been damaged. We have been suffering for a long time.,infrastructure,OFF001,Medium,29
Water coming from taps in Salt Lake is brownish and smells bad. Definitely contaminated. Please take urgent action.,water_supply,OFF004,Low,18
Common areas in government housing at Railway Station are being illegally encroached upon.,housing,OFF010,Medium,48
The ambulance service in Gomti Nagar took 6 hours to respond causing a patient's death. We have been suffering for a long time.,healthcare,OFF006,High,1
Construction of building on Nehru Street is illegal as it violates floor space index regulations.,housing,OFF010,Medium,25
New tax levied on Gomti Nagar residents without proper public notification or justification. We have been suffering for a long time.,taxation,OFF009,Medium,28
Potholes on the main highway near Railway Station causing frequent accidents and vehicle damage. Kindly resolve at the earliest.,transport,OFF007,High,3
A burst pipe on Gandhi Nagar has been flooding the road for 16 days. No repair work started.,water_supply,OFF004,Low,7
Electricity bill for Whitefield is three times higher than usual without any increase in usage. This is not the first time this has happened.,electricity,OFF005,Medium,8
